# setname	status	fps_no_present	driver_file	drc	fallback	title
dynamski	OK	63.3	misc/shangkid.cpp	-	-	Dynamic Ski
gldarrow	OK	63.3	misc/meyc8088.cpp	-	-	Golden Arrow (Standard G8-03)
zipzap	OK	63.3	kaneko/expro02.cpp	-	-	Zip & Zap (Explicit)
chiller	OK	63.2	exidy/exidy440.cpp	-	mame4all	Chiller (version 3.0)
keroppi	OK	63.1	seta/seta.cpp	-	mame4all	Kero Kero Keroppi's Let's Play Together (USA, Version 2.0)
knckhead	OK	62.6	namco/namcona1.cpp	-	-	Knuckle Heads (World)
ohmygod	OK	62.5	atlus/ohmygod.cpp	-	mame4all	Oh My God! (Japan)
shangkid	OK	62.5	misc/shangkid.cpp	-	-	Shanghai Kid
dodghero	OK	62.4	sigma/sigmab98.cpp	-	-	Minna Atsumare! Dodge Hero
egghunt	OK	62.3	capcom/egghunt.cpp	-	-	Egg Hunt
headoni	OK	62.3	irem/m10.cpp	-	mame4all	Head On (Irem, M-15 Hardware)
koropens	OK	62.3	konami/konmedal68k.cpp	-	-	Korokoro Pensuke
chicgum	OK	62.2	misc/4enraya.cpp	-	-	Chic Gum Video
medlanes	OK	62.2	meadows/lazercmd.cpp	-	mame4all	Meadows Lanes
7mezzo	OK	62.0	misc/magicfly.cpp	-	-	7 e Mezzo
killcom	OK	62.0	alliedleisure/killcom.cpp	-	mame4all	Killer Comet
exvania	OK	61.9	namco/namcona1.cpp	-	-	Exvania (World)
hitme	OK	61.9	ramtek/hitme.cpp	-	-	Hit Me (set 1)
clshroad	OK	61.7	nichibutsu/clshroad.cpp	-	-	Clash-Road
kaos	OK	61.7	alliedleisure/killcom.cpp	-	mame4all	Kaos
tugboat	OK	61.6	misc/tugboat.cpp	-	-	Tugboat
nhomerun	OK	61.5	jaleco/homerun.cpp	-	-	NEW Moero!! Pro Yakyuu Homerun Kyousou
pgalvip	OK	61.5	kaneko/expro02.cpp	-	-	Pocket Gals V.I.P (set 1)
quiztou	OK	61.5	namco/namcona1.cpp	-	-	Nettou! Gekitou! Quiztou!! (Japan)
fghtatck	OK	61.4	namco/namcona1.cpp	-	-	Fighter & Attacker (US)
missw96	OK	61.4	kaneko/expro02.cpp	-	-	Miss World '96 (Nude) (C-3000A PCB, set 1)
xorworld	OK	61.3	gaelco/xorworld.cpp	-	-	Xor World (ver 1.2, checksum DB5D0F, prototype)
hotchili	OK	61.2	misc/hotchili.cpp	-	-	Hot Chilli (95103, v0104)
swcourt	OK	61.1	namco/namcona1.cpp	-	-	Super World Court (World)
whodunit	OK	61.1	exidy/exidy440.cpp	-	mame4all	Who Dunit (version 9.0)
showdown	OK	61.0	exidy/exidy440.cpp	-	mame4all	Showdown (version 5.0)
mwarr	OK	60.9	edevices/mwarr.cpp	-	-	Mighty Warriors (24/1)
numanath	OK	60.9	namco/namcona1.cpp	-	-	Numan Athletics (World)
bchance	OK	60.8	misc/magicfly.cpp	-	-	Bonne Chance! (French/English)
blockcar	OK	60.8	seta/seta.cpp	-	mame4all	Block Carnival / Thunder & Lightning 2
crossbow	OK	60.8	exidy/exidy440.cpp	-	mame4all	Crossbow (version 2.0)
tinklpit	OK	60.8	namco/namcona1.cpp	-	-	Tinkle Pit (Japan)
video21	OK	60.8	videogames/video21.cpp	-	-	Video 21
airattck	OK	60.7	nmk/nmk16.cpp	-	mame4all	Air Attack (set 1)
helifire	OK	60.7	nintendo/n8080.cpp	-	mame4all	HeliFire (set 1)
newfant	OK	60.7	kaneko/expro02.cpp	-	-	New Fantasia (1995 copyright)
unksig	OK	60.6	misc/4enraya.cpp	-	-	unknown 'Space Invaders' gambling game (encrypted, set 1)
pangpang	OK	60.5	dataeast/tumbleb.cpp	-	-	Pang Pang
good	OK	60.4	misc/good.cpp	-	-	Good (Korea)
hotbody	OK	60.4	misc/gameace.cpp	-	-	Hot Body I
msbingo	OK	60.1	misc/gumbo.cpp	-	-	Miss Bingo
smissw	OK	60.1	kaneko/expro02.cpp	-	-	Super Miss World
super21	OK	59.9	ramtek/hitme.cpp	-	-	Super Twenty One
trvmadns	OK	59.9	misc/trvmadns.cpp	-	-	Trivia Madness - Series A Question set
magicstk	OK	59.8	playmark/powerbal.cpp	-	-	Magic Sticks
pyenaget	OK	59.8	sigma/sammymdl.cpp	-	-	Pye-nage Taikai
ssrj	OK	59.8	taito/ssrj.cpp	-	-	Super Speed Race Junior (Japan)
supmodel	OK	59.8	kaneko/expro02.cpp	-	-	Super Model
bkrtmaq	OK	59.7	namco/namcona1.cpp	-	-	Bakuretsu Quiz Ma-Q Dai Bouken (Japan)
monsterb	OK	59.7	sega/segag80r.cpp	-	mame4all	Monster Bash
pipedrm	OK	59.7	vsystem/pipedrm.cpp	-	mame4all	Pipe Dream (World)
xday2	OK	59.7	namco/namcona1.cpp	-	-	X-Day 2 (Japan)
sbishi	OK	59.6	konami/bishi.cpp	-	-	Super Bishi Bashi Champ (ver JAA, 2 Players)
mastboyo	OK	59.5	gaelco/mastboyo.cpp	-	-	Master Boy (1987, Z80 hardware, Covielsa, set 1)
suprridr	OK	59.5	taito/suprridr.cpp	-	-	Super Rider
zodiack	OK	59.5	orca/zodiack.cpp	-	mame4all	Zodiack
leprechn	OK	59.4	alliedleisure/killcom.cpp	-	mame4all	Leprechaun (set 1)
pirates	OK	59.4	nix/pirates.cpp	-	-	Pirates (set 1)
topsecex	OK	59.4	exidy/exidy440.cpp	-	mame4all	Top Secret (Exidy) (version 1.0)
unkpacg	OK	59.1	misc/4enraya.cpp	-	-	unknown 'Pac-Man' gambling game (set 1)
mspuzzle	OK	58.8	misc/gumbo.cpp	-	-	Miss Puzzle
shinygld	OK	58.8	playmark/sderby.cpp	-	-	Shiny Golds
chboxing	OK	58.7	sega/sg1000a.cpp	-	-	Champion Boxing
skylancr	OK	58.7	orca/funkybee.cpp	-	mame4all	Sky Lancer
tm5k	OK	58.7	williams/tmaster.cpp	-	-	Touchmaster 5000 (v7.10 Standard)
